season,source_file,relative_path,league_code,rows,columns,date_min,date_max,invalid_dates,teams,duplicate_match_keys,missing_core_columns,missing_core_values,result_goal_mismatches,unexpected_results,filename_matches_div,sha256,schema_hash,coverage_HS,coverage_AS,coverage_HST,coverage_AST,coverage_HF,coverage_AF,coverage_HC,coverage_AC,coverage_HY,coverage_AY,coverage_HR,coverage_AR,incomplete_match_stats_rows,incomplete_match_stats_matches,avg_pre_columns_present,avg_pre_complete_rows,avg_pre_coverage,avg_pre_invalid_rows,avg_pre_median_overround,avg_pre_incomplete_matches,avg_close_columns_present,avg_close_complete_rows,avg_close_coverage,avg_close_invalid_rows,avg_close_median_overround,avg_close_incomplete_matches,b365_pre_columns_present,b365_pre_complete_rows,b365_pre_coverage,b365_pre_invalid_rows,b365_pre_median_overround,b365_pre_incomplete_matches,b365_close_columns_present,b365_close_complete_rows,b365_close_coverage,b365_close_invalid_rows,b365_close_median_overround,b365_close_incomplete_matches,max_close_columns_present,max_close_complete_rows,max_close_coverage,max_close_invalid_rows,max_close_median_overround,max_close_incomplete_matches
2022_23,E3.csv,Footbal_Data — kopia/raw/2022_23/E3.csv,E0,380,106,2022-08-05,2023-05-28,0,20,0,,0,0,0,False,8442792d3b614c94ea3cf381bd2736805889cc1713169035368fff19c3d02380,590f3cc0db5a,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,,True,380,1.0,0,0.04053672248763196,,True,380,1.0,0,0.03881305349573527,,True,380,1.0,0,0.05324683003400765,,True,380,1.0,0,0.053793206539202054,,True,380,1.0,0,-0.006987095088954287,
2022_23,F4.csv,Footbal_Data — kopia/raw/2022_23/F4.csv,F1,380,105,2022-08-05,2023-06-03,0,20,0,,0,0,0,False,18ea07d922e8b6360b81189637efd5aaf44779765db856bff208d5b1acf69b2f,ae758af3402f,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,,True,380,1.0,0,0.04754386039494596,,True,380,1.0,0,0.046455453224583776,,True,380,1.0,0,0.05338477082759252,,True,380,1.0,0,0.05555555555555558,,True,380,1.0,0,-0.005504911612393526,
2022_23,I4.csv,Footbal_Data — kopia/raw/2022_23/I4.csv,I1,380,105,2022-08-13,2023-06-04,0,20,0,,0,0,0,False,9960837f37a97ae700f876c87b85a8b7a2f5a5d05a53077830c21b9db8880c45,ae758af3402f,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,,True,380,1.0,0,0.04520527196335267,,True,380,1.0,0,0.04466723249941107,,True,380,1.0,0,0.053793206539202054,,True,380,1.0,0,0.0561688311688312,,True,380,1.0,0,-0.0054574588299765026,
2022_23,SP4.csv,Footbal_Data — kopia/raw/2022_23/SP4.csv,SP1,380,105,2022-08-12,2023-06-04,0,20,0,,0,0,0,False,53348112526b5165539df240be350083989bb258f30c0ff7cacbc0165ca7e4b3,ae758af3402f,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,,True,380,1.0,0,0.04372154252483451,,True,380,1.0,0,0.04341887587765081,,True,380,1.0,0,0.05402764204942079,,True,380,1.0,0,0.05596756651897283,,True,380,1.0,0,-0.004829027527821106,
2023_24,D3.csv,Footbal_Data — kopia/raw/2023_24/D3.csv,D1,306,105,2023-08-18,2024-05-18,0,18,0,,0,0,0,False,1de8bc12a133dbbf71bc6ffda62082642f087f61b1b7c15ae9f2d320876fb07e,ae758af3402f,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,,True,306,1.0,0,0.0421686858596676,,True,306,1.0,0,0.04255536127436643,,True,306,1.0,0,0.053830227743271175,,True,306,1.0,0,0.05445772718403219,,True,306,1.0,0,-0.003622596012621271,
2023_24,E2.csv,Footbal_Data — kopia/raw/2023_24/E2.csv,E0,380,106,2023-08-11,2024-05-19,0,20,0,,0,0,0,False,b2e057b0ed959f198b0f63d2391c01239f3608e6de5db68edab3f88e04d07ff3,590f3cc0db5a,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,,True,380,1.0,0,0.04159176385798247,,True,380,1.0,0,0.0396594692756973,,True,380,1.0,0,0.05399659863945572,,True,380,1.0,0,0.05488187314894,,True,380,1.0,0,-0.00671195791758572,
2023_24,F3.csv,Footbal_Data — kopia/raw/2023_24/F3.csv,F1,306,105,2023-08-11,2024-05-19,0,18,0,,0,0,0,False,ca0a4bf51d5b1ccfd0e1558ea41de6bb829df6c96c759888a87248d296d5adb7,ae758af3402f,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,,True,306,1.0,0,0.046865700905405205,,True,306,1.0,0,0.045928640728160164,,True,306,1.0,0,0.053619076054352566,,True,306,1.0,0,0.05470834871923802,,True,306,1.0,0,-0.0022465246099601655,
2023_24,I3.csv,Footbal_Data — kopia/raw/2023_24/I3.csv,I1,380,105,2023-08-19,2024-06-02,0,20,0,,0,0,0,False,343a89db026fe4204ebeabd663cdfee8d02a45457828fc1cb63fa630ca170723,ae758af3402f,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,,True,380,1.0,0,0.04507157895811853,,True,380,1.0,0,0.04473818592280876,,True,380,1.0,0,0.05386086781435617,,True,380,1.0,0,0.05523818846262318,,True,380,1.0,0,-0.0023466839717171672,
2023_24,SP3.csv,Footbal_Data — kopia/raw/2023_24/SP3.csv,SP1,380,105,2023-08-11,2024-05-26,0,20,0,,0,0,0,False,5323f596c7ed318e4bce95557a369d809d98501fa499ea5f41350cd45cf3c7d9,ae758af3402f,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,,True,380,1.0,0,0.04330518499444791,,True,380,1.0,0,0.0430489353410225,,True,380,1.0,0,0.05370106949054321,,True,380,1.0,0,0.05398179338692799,,True,380,1.0,0,-0.0019043211436149399,
2024_25,D2.csv,Footbal_Data — kopia/raw/2024_25/D2.csv,D1,306,119,2024-08-23,2025-05-17,0,18,0,,0,0,0,False,a295c58033cfe6393cbbc28f7db85671839b960c5f1153fd3678e20ad2adb92e,ff0298b0c01b,0.9967320261437909,0.9967320261437909,0.9967320261437909,0.9967320261437909,0.9967320261437909,0.9967320261437909,0.9967320261437909,0.9967320261437909,0.9967320261437909,0.9967320261437909,0.9967320261437909,0.9967320261437909,1,14/12/2024: Union Berlin vs Bochum,True,306,1.0,0,0.047060688977209386,,True,306,1.0,0,0.04569759189804523,,True,306,1.0,0,0.05490920369952634,,True,306,1.0,0,0.0563114134542706,,True,306,1.0,0,0.0024273074849614495,
2024_25,E1.csv,Footbal_Data — kopia/raw/2024_25/E1.csv,E0,380,120,2024-08-16,2025-05-25,0,20,0,,0,0,0,False,d0c8ce4a96d886cf60cf101f570f4a3893844226f91c7bd769eb568c49edbfa4,c5142b7b1954,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,,True,380,1.0,0,0.04486344605732151,,True,380,1.0,0,0.04184645992984737,,True,380,1.0,0,0.05513536023737786,,True,380,1.0,0,0.05569249725526615,,True,380,1.0,0,0.0023055134707858915,
2024_25,F2.csv,Footbal_Data — kopia/raw/2024_25/F2.csv,F1,306,119,2024-08-16,2025-05-17,0,18,0,,0,0,0,False,fe6ae6a0c30d05f0ac88e0fc4a31452c7203e2b444703dfa941e22f38f20ab63,ff0298b0c01b,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,,True,306,1.0,0,0.050472978349084485,,True,306,1.0,0,0.047772373817055014,,True,306,1.0,0,0.055123307265290133,,True,306,1.0,0,0.056048097889192294,,True,306,1.0,0,0.003734747772277114,
2024_25,I2.csv,Footbal_Data — kopia/raw/2024_25/I2.csv,I1,380,119,2024-08-17,2025-05-25,0,20,0,,0,0,0,False,79d87a5b18771e066ac7419b7876bfd9771a68ca117a9712375d6bc9685abee3,ff0298b0c01b,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,,True,380,1.0,0,0.049271082499961705,,True,380,1.0,0,0.0473805464520628,,True,380,1.0,0,0.05481270180296283,,True,380,1.0,0,0.05593251421236012,,True,380,1.0,0,0.004552482132681113,
2024_25,SP2.csv,Footbal_Data — kopia/raw/2024_25/SP2.csv,SP1,380,119,2024-08-15,2025-05-25,0,20,0,,0,0,0,False,c086e96d6a53f6e6c0fce4e35db0d1728c773b4362323da0161a34769e315a36,ff0298b0c01b,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,,True,380,1.0,0,0.047715641270141274,,True,380,1.0,0,0.04554114562473144,,True,380,1.0,0,0.05577309457814539,,True,380,1.0,0,0.056294582610372124,,True,380,1.0,0,0.0037891090598508592,
2025_26,D1.csv,Footbal_Data — kopia/raw/2025_26/D1.csv,D1,306,131,2025-08-22,2026-05-16,0,18,0,,0,0,0,True,618301a4b39918225a8ccc57f0f839d675e1abd92fa3a3ccd9a67acd7c79dd7f,d57f8bf94ddb,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,,True,306,1.0,0,0.06785619866510983,,True,306,1.0,0,0.06306080937934444,,True,306,1.0,0,0.05455002513826046,,True,306,1.0,0,0.05641190641190619,,True,306,1.0,0,0.02681996711728174,
2025_26,E0.csv,Footbal_Data — kopia/raw/2025_26/E0.csv,E0,380,132,2025-08-15,2026-05-24,0,20,0,,0,0,0,True,3e3a8352f9ada6789c508d6ca184424421fed56a30400904a4a327c583407e62,d1ae28f61030,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,,True,380,1.0,0,0.05750544699184634,,True,380,1.0,0,0.05589802495874885,,True,380,1.0,0,0.05449723479135238,,True,380,1.0,0,0.05555555555555558,,True,380,1.0,0,0.01963494595073545,
2025_26,F1.csv,Footbal_Data — kopia/raw/2025_26/F1.csv,F1,306,131,2025-08-15,2026-05-17,0,18,0,,0,0,0,True,898b7ddcd373cfe955ae353b1a98cf7f1c8757ca10b69d53039f4e098e88f192,d57f8bf94ddb,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,,True,306,1.0,0,0.06656499994434717,,True,306,1.0,0,0.062164360245729466,,True,306,1.0,0,0.055303426624793595,,True,306,1.0,0,0.05570900106284593,,True,306,1.0,0,0.02506452927591374,
2025_26,I1.csv,Footbal_Data — kopia/raw/2025_26/I1.csv,I1,380,131,2025-08-23,2026-05-24,0,20,0,,0,0,0,True,709ae279617d16af226312bcceac941e71241745ddaf950bdac2b83afad4fcbb,d57f8bf94ddb,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,,True,380,1.0,0,0.06424063125729329,,True,380,1.0,0,0.06209147045947627,,True,380,1.0,0,0.05462935219032772,,True,380,1.0,0,0.056289751990645454,,True,380,1.0,0,0.025347829768729957,
2025_26,SP1.csv,Footbal_Data — kopia/raw/2025_26/SP1.csv,SP1,380,131,2025-08-15,2026-05-24,0,20,0,,0,0,0,True,4ca2e285f3ee0702f6bc55fcaa4f5a15cb3aef6220735a1d15398131e21d63f5,d57f8bf94ddb,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,,True,380,1.0,0,0.06434158918646293,,True,380,1.0,0,0.06074449419328276,,True,380,1.0,0,0.05516705516705511,,True,380,1.0,0,0.055453222846633676,,True,380,1.0,0,0.025625986916309462,
