season,odds_band,n_bets,n_matches,wins,total_profit,mean_odds,median_odds,mean_raw_implied_probability,mean_predicted_probability,roi,win_rate,calibration_gap,sparse,roi_ci_low,roi_ci_high,win_rate_ci_low,win_rate_ci_high,predicted_ci_low,predicted_ci_high,gap_ci_low,gap_ci_high
2021_22,"[1.50, 2.00)",657,657,366,-33.17,1.7226940639269406,1.72,0.5844626292222566,0.5532527695483704,-0.05048706240487063,0.5570776255707762,0.003824856022405787,False,-0.11494777137659198,0.011943861865502076,0.5195917615728937,0.5934238925443192,0.5496731157521306,0.5567956669566706,-0.03303495935472062,0.03951579223598294
2021_22,"[2.00, 3.00)",1038,770,404,-72.2,2.4240558766859346,2.4,0.41834580488956163,0.39633787209674526,-0.06955684007707129,0.3892100192678227,-0.007127852828922532,False,-0.13021706955952272,-0.009059144768546103,0.36320473944294696,0.41522239639463115,0.393216445625833,0.39955842422074445,-0.03277470459879783,0.018446738545631218
2021_22,"[3.00, 5.00)",2410,1545,637,-93.94,3.694954356846473,3.6,0.2748939169401721,0.26030839058777305,-0.038979253112033194,0.26431535269709544,0.004006962109322387,False,-0.09557583394435938,0.017888500581451607,0.2493850677454499,0.2795589030397693,0.25890878928720845,0.26166614661359666,-0.011010346415798638,0.019419808211070925
2021_22,"[5.00, 10.00)",818,679,117,-93.25,6.496332518337408,6.0,0.1597286721913087,0.1511508314367747,-0.11399755501222494,0.1430317848410758,-0.008119046595698926,False,-0.2587255919140147,0.029361050927621035,0.11989169408317482,0.16625938805114585,0.14967516283601762,0.15267744781226256,-0.03152824134872337,0.014953812019267891
2021_22,"[10.00, inf)",156,144,13,20.0,13.852564102564102,13.0,0.07687073222789974,0.0727558144514123,0.1282051282051282,0.08333333333333333,0.01057751888192103,True,-0.45569835529148367,0.7823593350383631,0.042163408880276344,0.12988424618859393,0.07038432965660625,0.07518812450322675,-0.03074281182693861,0.05724655317914354
2022_23,"[1.00, 1.50)",321,321,239,-9.26,1.3124922118380062,1.33,0.7667383176944084,0.725769465288043,-0.028847352024922116,0.7445482866043613,0.01877882131631836,False,-0.093979651848938,0.03193673563777994,0.6941868360695317,0.7907029598308667,0.7194753576141742,0.7324905988119298,-0.029961890713540534,0.06419199690556145
2022_23,"[1.50, 2.00)",677,677,392,-6.889999999999998,1.7179911373707533,1.7,0.5859560748817396,0.555482290070473,-0.010177252584933526,0.5790251107828656,0.023542820712392554,False,-0.07317268923945922,0.05524220876721765,0.5421095654371225,0.6172857067593909,0.5519014340665771,0.5588804402396308,-0.012948300158717108,0.0611180120789788
2022_23,"[2.00, 3.00)",1120,828,440,-67.15,2.4336607142857143,2.4,0.41657449080153525,0.39493931142124317,-0.05995535714285715,0.39285714285714285,-0.0020821685641003174,False,-0.11834566365297644,-0.0017658324606732126,0.3679155071150851,0.41769967514282513,0.3918717186710376,0.39800651059350195,-0.02717737726734597,0.022992715342660047
2022_23,"[3.00, 5.00)",2461,1567,635,-173.04999999999998,3.670621698496546,3.6,0.27670869320278624,0.2623264921881639,-0.07031694433157253,0.25802519301097115,-0.004301299177192741,False,-0.1252156373094416,-0.016132023946472472,0.24323122234956315,0.2728039035381545,0.2609822990663208,0.26375731602274455,-0.01937443847537139,0.010681323982194464
2022_23,"[5.00, 10.00)",766,634,114,-65.5,6.303524804177545,6.0,0.1640301896812618,0.15543058378948166,-0.08550913838120104,0.14882506527415143,-0.006605518515330228,False,-0.24077855584718072,0.07287271600083169,0.12419125045447243,0.17375069282003586,0.15380453695490595,0.15694610456299765,-0.031190227995795152,0.019037920170435967
