season,probability_bin,n,mean_predicted_probability,observed_outcome_rate,calibration_gap,sparse,predicted_ci_low,predicted_ci_high,observed_ci_low,observed_ci_high,gap_ci_low,gap_ci_high
2022_23,"[0.60, 0.70)",272,0.6463718781950223,0.6764705882352942,0.03009871004027187,False,0.6428760308322798,0.6496952576305232,0.6202875296606535,0.7343267565328715,-0.025969898326105127,0.08750983149861467
2022_23,"[0.70, 0.80)",145,0.7455322712500274,0.7655172413793103,0.01998497012928291,True,0.7406529376021617,0.7501945864554876,0.6979829559171454,0.8343949044585988,-0.04830580055543346,0.08848239102771772
2022_23,"[0.80, 0.90)",46,0.8382176673695305,0.8043478260869565,-0.033869841282573976,True,0.8308474686225505,0.8458440988192909,0.6829268292682927,0.9117966751918156,-0.14947114378274146,0.07225254142323453
2022_23,"[0.90, 1.00]",1,0.9045435720896573,1.0,0.0954564279103427,True,0.9045435720896573,0.9045435720896573,1.0,1.0,0.0954564279103427,0.0954564279103427
2023_24,"[0.00, 0.10)",159,0.07534584118011844,0.050314465408805034,-0.02503137577131341,True,0.07277197578135046,0.07785797773129723,0.01910828025477707,0.08571866783523223,-0.05643467497181883,0.010074846894428734
2023_24,"[0.10, 0.20)",799,0.1584635529411712,0.1251564455569462,-0.033307107384225015,False,0.15676805902550894,0.16017351019339413,0.10319386844864552,0.14666795366795365,-0.05503197265615707,-0.011712020537633634
2023_24,"[0.20, 0.30)",1988,0.25533260156423326,0.25653923541247486,0.0012066338482416006,False,0.2540434627362769,0.25658541131893575,0.2394978830645161,0.27356123254297776,-0.015889567971237098,0.01844504889897137
2023_24,"[0.30, 0.40)",847,0.3419855044939192,0.33412042502951594,-0.007865079464403235,False,0.34026533364914024,0.3436616204066299,0.3125,0.3549129464285714,-0.02890485027884842,0.012932673653279457
2023_24,"[0.40, 0.50)",564,0.44753172212180353,0.44858156028368795,0.00104983816188442,False,0.44530744540160694,0.4497771414826534,0.4079350300642131,0.48955699125416424,-0.04005400750845296,0.042243250229922764
2023_24,"[0.50, 0.60)",436,0.5490677243689505,0.5940366972477065,0.04496897287875601,False,0.5463481801837098,0.5516043459671149,0.5462555066079295,0.639823209777723,-0.003087267307415342,0.08997645003614207
2023_24,"[0.60, 0.70)",259,0.6471475616948252,0.6911196911196911,0.043972129424865836,False,0.6435458928832892,0.6506678856014929,0.6380597014925373,0.7461021205357142,-0.008652002826903274,0.09841234041389052
2023_24,"[0.70, 0.80)",151,0.743772413239896,0.7615894039735099,0.01781699073361398,True,0.739232117438175,0.7484062138932475,0.6922955974842767,0.8289515323117921,-0.05025489653086075,0.08462648615974129
2023_24,"[0.80, 0.90)",53,0.8381589859731418,0.8490566037735849,0.010897617800443182,True,0.8301000831914804,0.8466276268484532,0.75,0.9375,-0.08783971643796179,0.09865330055884299
2023_24,"[0.90, 1.00]",0,,,,True,,,,,,
2024_25,"[0.00, 0.10)",180,0.0776608365564496,0.06666666666666667,-0.01099416988978294,True,0.07513162613880964,0.08005661644198354,0.032962529274004684,0.10614525139664804,-0.04497527564023339,0.028863930426284493
2024_25,"[0.10, 0.20)",839,0.15833260698586824,0.14064362336114422,-0.017688983624724014,False,0.1567460926447495,0.15991528566094654,0.11864308238076468,0.16440290811214078,-0.03949770406930767,0.005830264948763681
2024_25,"[0.20, 0.30)",1878,0.2554449081936877,0.2507987220447284,-0.004646186148959286,False,0.25414305806761567,0.2567448941093491,0.23250833120929298,0.2688011386399578,-0.022825618537441684,0.013755144508558923
2024_25,"[0.30, 0.40)",892,0.33924854579330077,0.34080717488789236,0.0015586290945915904,False,0.33759900039841667,0.3407301115935537,0.319808653215374,0.360988141613761,-0.0192752348217535,0.02166082744158516
2024_25,"[0.40, 0.50)",554,0.4463353203604985,0.45126353790613716,0.004928217545638658,False,0.4437852990859008,0.44871697977134267,0.40939974659486855,0.4938810571807182,-0.037249426593226366,0.04808893588577534
2024_25,"[0.50, 0.60)",425,0.5475650527131382,0.5741176470588235,0.026552594345685354,False,0.5447814058442821,0.550262654247064,0.5247742172865935,0.6214381007623466,-0.022040753677341575,0.07375545591309417
2024_25,"[0.60, 0.70)",262,0.6491121509938733,0.6374045801526718,-0.011707570841201553,False,0.6458045424118048,0.6525323912194256,0.5806451612903226,0.6947809620836286,-0.06798958385303444,0.04492136246039377
2024_25,"[0.70, 0.80)",172,0.7418780225124739,0.8081395348837209,0.066261512371247,True,0.7375584279857222,0.7463087944960609,0.7471211153682418,0.8682846349186443,0.004644020606463035,0.12728712033593312
2024_25,"[0.80, 0.90)",53,0.8351813306027268,0.8679245283018868,0.03274319769916001,True,0.8287553025411185,0.8420309916259884,0.7708247950819672,0.951632104454685,-0.06384308094447357,0.11470523840964036
2024_25,"[0.90, 1.00]",1,0.924822886041101,1.0,0.07517711395889903,True,0.924822886041101,0.9248228860411011,1.0,1.0,0.07517711395889892,0.07517711395889903
2025_26,"[0.00, 0.10)",119,0.0783836691195238,0.05042016806722689,-0.027963501052296905,True,0.07572998968263127,0.08091443091607534,0.016663223140495866,0.09459815078236129,-0.06237768146403181,0.016253132196468886
2025_26,"[0.10, 0.20)",719,0.15794137642073086,0.13630041724617525,-0.021640959174555607,False,0.15615661452601867,0.15966983386116132,0.11142818322981367,0.16285499871459463,-0.0464625559073125,0.005091549235249458
2025_26,"[0.20, 0.30)",1995,0.25576594399484354,0.25764411027568923,0.0018781662808456945,False,0.2545206325659657,0.25706246131394234,0.24018583337494692,0.27536050634536086,-0.015473838686887838,0.02002890755238727
2025_26,"[0.30, 0.40)",1007,0.3404287589228182,0.32969215491559084,-0.010736604007227368,False,0.33885698755296284,0.3418794402987831,0.31137289735880935,0.348507330449382,-0.028779952835363484,0.008059092908751165
2025_26,"[0.40, 0.50)",597,0.44870275082891914,0.47068676716917923,0.021984016340260093,False,0.4462710396724046,0.451099942050308,0.4300164418212479,0.5099371083159252,-0.018171144390677057,0.06161776538380264
2025_26,"[0.50, 0.60)",389,0.5471316744296171,0.5424164524421594,-0.004715221987457663,False,0.5443089287373175,0.5500050029888863,0.49206243667679833,0.5939150251114192,-0.05364996639364209,0.04685015118109804
2025_26,"[0.60, 0.70)",263,0.6450382233844036,0.6768060836501901,0.031767860265786485,False,0.6415570785697333,0.6485762982554599,0.6167852798053528,0.7296513002364065,-0.0274388560975302,0.08522804005486537
2025_26,"[0.70, 0.80)",134,0.7433360907904094,0.7761194029850746,0.03278331219466524,True,0.7384131324974746,0.7482294629693006,0.7039211479786422,0.8467760098808486,-0.03833883739657381,0.10382170188866473
2025_26,"[0.80, 0.90)",30,0.8361940903093887,0.9,0.06380590969061128,True,0.8272573541928833,0.8451043781952979,0.7777777777777778,1.0,-0.06042977882792433,0.16379658479790102
2025_26,"[0.90, 1.00]",0,,,,True,,,,,,
