div,odds_band,n_bets,n_matches,wins,total_profit,mean_odds,median_odds,mean_raw_implied_probability,mean_predicted_probability,roi,win_rate,calibration_gap,sparse,roi_ci_low,roi_ci_high,win_rate_ci_low,win_rate_ci_high,predicted_ci_low,predicted_ci_high,gap_ci_low,gap_ci_high
F1,"[1.50, 2.00)",871,871,479,-43.8,1.737141216991963,1.75,0.5795137681392599,0.5485035662168093,-0.05028702640642939,0.5499425947187141,0.0014390285019048044,False,-0.1041827030033372,0.007883405466970316,0.5197195596074173,0.5842085896591047,0.5455186276769229,0.5515276968196638,-0.029064745080135398,0.03559895589053895
F1,"[2.00, 3.00)",1374,1051,544,-79.51,2.4145924308588063,2.38,0.41975104412469844,0.3975726448476761,-0.05786754002911208,0.39592430858806404,-0.001648336259612082,False,-0.10826713833894674,-0.0026694249991586717,0.37367500124686204,0.4190675802760277,0.3949615809785556,0.4003738134407647,-0.023329041626963407,0.02131195224465489
F1,"[3.00, 5.00)",3281,2033,864,-167.76,3.662453520268211,3.6,0.2772611976405858,0.262548219708818,-0.051130752819262416,0.26333434928375493,0.0007861295749369557,False,-0.09705271234372526,-0.004507701084693159,0.25084322230532713,0.2757893492639863,0.26134318656501293,0.26373635366639764,-0.01165339035838328,0.013495094757538554
F1,"[5.00, 10.00)",920,753,133,-103.5,6.348913043478261,6.0,0.16296808891091286,0.15419181517447145,-0.1125,0.14456521739130435,-0.009626597783167101,False,-0.24648937898949766,0.028327905900775743,0.12302797301049406,0.1665008007074263,0.15276141120729175,0.15565600277038605,-0.031215577095094618,0.012391711466053976
F1,"[10.00, inf)",148,133,9,-42.0,13.493243243243244,12.0,0.07924988841927819,0.07487755545876525,-0.28378378378378377,0.060810810810810814,-0.014066744647954432,True,-0.6967869388192436,0.19718773165307632,0.02531645569620253,0.10204081632653061,0.07238755898887532,0.07753821873180221,-0.0494845672669012,0.026900205033140775
I1,"[1.00, 1.50)",555,555,413,-6.519999999999997,1.3328288288288288,1.33,0.7541657408801805,0.7129458639082783,-0.011747747747747742,0.7441441441441441,0.031198280235865794,False,-0.06224129870129879,0.03267589973192445,0.7072650693070656,0.7771971201588878,0.708812901006557,0.7174200574809124,-0.005657369973593174,0.0650148442552081
I1,"[1.50, 2.00)",983,983,566,-16.92,1.715320447609359,1.7,0.5868100600751167,0.5555928688209122,-0.017212614445574773,0.5757884028484231,0.020195534027510953,False,-0.07074234375000013,0.036557588493686115,0.5443526075809697,0.6065247906953426,0.5527364180933017,0.5584303714020488,-0.010886952702509408,0.05089147187973462
I1,"[2.00, 3.00)",1523,1124,607,-63.77,2.4470387393302695,2.4,0.414556738315735,0.39261506571894095,-0.041871306631648064,0.3985554826001313,0.005940416881190347,False,-0.09246408876281752,0.007130550699459747,0.3765551346128002,0.41997358600181184,0.38983037558903805,0.3953061405827965,-0.01572093267510254,0.026826231932283805
I1,"[3.00, 5.00)",3510,2280,893,-293.18,3.6825868945868945,3.6,0.27620988205744984,0.26158255974672134,-0.08352706552706553,0.25441595441595444,-0.007166605330766906,False,-0.13005154304706634,-0.036748194922658066,0.24157213188082552,0.2671654812557349,0.2603373513648658,0.2627811996409045,-0.02004239583353384,0.005615117532425613
I1,"[5.00, 10.00)",1230,1043,169,-204.25,6.417073170731707,6.0,0.16160486640496097,0.15293916401362603,-0.16605691056910568,0.13739837398373983,-0.015540790029886203,False,-0.2729671250707804,-0.04805228881472669,0.12009478308231505,0.15590658784211459,0.15170265699305716,0.15421163184739747,-0.033207029010700606,0.00302782740871902
